1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1.2513059,1.3474393,1.5977376,2.023498,2.6133718,3.2845597,4.1837554,4.966071,5.5635514,5.8537865,6.092687,6.031657,5.790697,5.1090255,4.4279604,3.7874193,3.3272295,2.7984207,2.375895,1.9846736,1.6144882,1.3985869,1.3411325,1.2835208,1.2487499,1.2269078,1.1964211,1.1924962,1.1754367,1.171499,1.1686647,1.179679,1.1691806,1.1592447,1.1713364,1.1564753,1.1672986,1.1611733,1.1734563,1.1688019,1.1699195,1.1587932,1.1638424,1.1695149,1.1587725,1.1666604,1.1573814,1.1535188,1.157338,1.1639092,1.1585226,1.1593971,1.1784258,1.1705999,1.1663772,1.1658678,1.1631532,1.1473631,1.1531875,1.1653796,1.1578429,1.1491373,1.1520774,1.162495,1.1495625,1.1673437,1.156682,1.1579366,1.1598868,1.1614597,1.1544533
2.711485,2.8610122,3.2202494,3.889054,4.6703653,5.5074077,6.556097,7.398948,8.02192,8.273922,8.44073,8.429038,8.235729,7.546841,6.8777204,6.1418753,5.5522056,4.905788,4.359433,3.7977066,3.2588964,2.9358149,2.8197422,2.7197576,2.6718004,2.6205337,2.5844517,2.5646133,2.541549,2.5694897,2.5479846,2.5246286,2.5307503,2.5334296,2.5339766,2.5313277,2.5224636,2.5332885,2.5396788,2.5278323,2.5279324,2.5244622,2.522395,2.524055,2.5220919,2.5327787,2.522835,2.5287278,2.5099773,2.5117598,2.5126235,2.514597,2.5063226,2.5093193,2.5251317,2.5353806,2.516638,2.5099318,2.5037963,2.506947,2.515931,2.5099194,2.5194054,2.5154371,2.5035214,2.5131855,2.5140479,2.5155833,2.5246713,2.5243325,2.5153396
0.96729225,0.9791189,1.010923,1.0593466,1.1114272,1.1755344,1.2842307,1.3790238,1.4630753,1.5530074,1.5783318,1.513843,1.4680886,1.3763005,1.2773196,1.2177502,1.1687033,1.1286073,1.112499,1.0866152,1.0397974,1.0347766,1.0226977,1.0251371,1.0176299,1.0124024,1.0098927,1.0157034,1.0053184,1.0132229,1.0072231,0.99972516,0.9893806,1.0099347,1.0061003,0.99470544,1.00096,1.0001324,1.0160171,1.006492,1.0030248,0.99781615,0.99371487,0.99229336,0.9931199,1.0036919,1.004285,1.0053586,0.9899356,0.9988395,0.9979488,0.9952317,0.9912845,0.9957911,1.0030566,1.0124668,0.9952056,0.98954576,0.99456406,0.9955244,0.98856896,0.9852778,1.0101838,0.9965037,0.99856985,0.9922739,1.00653,0.98879665,1.0055892,1.0031606,1.0005841
1.1486953,1.1487097,1.1564074,1.1771657,1.1942483,1.2202235,1.290273,1.3559409,1.4184341,1.4951205,1.5111529,1.449045,1.4093908,1.3445799,1.2768025,1.2424132,1.2098017,1.2002727,1.2116234,1.2126068,1.1944077,1.2134675,1.2043967,1.2117429,1.2122225,1.2068822,1.2085965,1.213717,1.2036694,1.2195485,1.2101543,1.1910418,1.1875286,1.2134807,1.2064755,1.199251,1.199006,1.2038815,1.2180631,1.205765,1.2019192,1.200835,1.193054,1.1895919,1.1953231,1.206141,1.207976,1.2117597,1.1897966,1.1965855,1.1981949,1.1956483,1.1824272,1.1892022,1.2032084,1.2181629,1.1941636,1.1921622,1.1946896,1.1907969,1.1883497,1.1870093,1.2137687,1.1945448,1.1986094,1.1888514,1.2078689,1.1888375,1.2091031,1.2064649,1.2022607
2.5857804,2.6468737,2.8326666,3.0676253,3.4058948,3.6957393,4.080355,4.413882,4.6575255,4.80819,4.942941,4.8707676,4.724447,4.4618063,4.1616173,3.9155889,3.7133908,3.4938312,3.2943418,3.0992806,2.8846827,2.736754,2.7076838,2.6644826,2.6520388,2.6428757,2.6114278,2.605907,2.5878189,2.5865483,2.587936,2.5937946,2.5914702,2.5676286,2.5975752,2.5766473,2.5943668,2.58715,2.5959067,2.5937293,2.597525,2.5866575,2.5903275,2.594791,2.5819755,2.5942364,2.5806112,2.5750036,2.5896988,2.588171,2.579055,2.586886,2.6152802,2.5945954,2.5931334,2.5968382,2.5892446,2.5753305,2.5734038,2.5883188,2.5860226,2.572056,2.561325,2.586163,2.5648558,2.5962834,2.5634217,2.5855942,2.586598,2.5870867,2.5776322
1.2434589,1.2666806,1.3307859,1.4275844,1.5429913,1.6627727,1.8447859,2.0032682,2.1345482,2.2481098,2.2955673,2.2223985,2.1508203,2.0089548,1.8587162,1.7487911,1.6591185,1.5764401,1.5203562,1.4538254,1.3656673,1.3307847,1.3117791,1.3031269,1.2947524,1.2865075,1.2785467,1.2817119,1.2694645,1.2783414,1.2718316,1.2627959,1.256373,1.2707429,1.2712356,1.259903,1.2649683,1.2653856,1.2797486,1.2700671,1.267951,1.262972,1.2591088,1.2585279,1.2585307,1.2692072,1.2674783,1.2681671,1.2554116,1.2622881,1.2608844,1.2598385,1.2582505,1.2594262,1.2674758,1.2776611,1.2600065,1.2533356,1.2569777,1.2587711,1.2540516,1.2497032,1.2689313,1.2600728,1.2584012,1.2580119,1.2663109,1.2544483,1.269425,1.267861,1.2627468
3.2453618,3.4783988,4.00583,5.1184883,6.3552327,7.739153,9.418333,10.706547,11.636329,11.93146,12.078929,12.167819,11.970381,10.94878,9.992716,8.796232,7.8090286,6.7359943,5.8361444,4.894974,4.0410924,3.545083,3.3445385,3.186542,3.1109066,3.0212955,2.9807556,2.9430244,2.917875,2.978085,2.9344945,2.8759987,2.8960526,2.9200945,2.8973234,2.9118657,2.8784902,2.9069471,2.9062033,2.8883553,2.8868146,2.8917074,2.8821008,2.8792088,2.887746,2.8981874,2.8919437,2.9075134,2.861352,2.8612587,2.8695714,2.8703442,2.8268187,2.848511,2.8835073,2.9012957,2.8709555,2.8760717,2.8594987,2.850699,2.8758867,2.8762765,2.8965566,2.8712618,2.86639,2.8580518,2.8816888,2.8754745,2.8912408,2.88843,2.8802595
2.4758487,2.4779515,2.5214527,2.5583954,2.6378012,2.6849797,2.7977705,2.91235,3.0060573,3.1040707,3.1598752,3.0818293,3.0022721,2.9083734,2.7948043,2.7378252,2.6792655,2.653555,2.639166,2.6226459,2.586704,2.5769188,2.5742629,2.5714886,2.5815632,2.5812912,2.5723884,2.572113,2.5590556,2.5732908,2.568953,2.5515745,2.5555365,2.5579154,2.5726802,2.5592883,2.566799,2.568856,2.5777965,2.5699334,2.570017,2.5674615,2.5617208,2.5593238,2.5592797,2.5728984,2.5674016,2.568046,2.5629337,2.5610423,2.5579166,2.5630207,2.5657454,2.5568695,2.569294,2.5843692,2.5614352,2.5582428,2.553451,2.5557785,2.5583317,2.550524,2.5564997,2.559044,2.5504003,2.5611234,2.5509677,2.5581641,2.5720236,2.5696719,2.5621674
1.2202163,1.2175097,1.2201798,1.235926,1.2470185,1.2657528,1.3296804,1.3915529,1.4512625,1.5265392,1.541597,1.4791019,1.439741,1.3785348,1.3154238,1.2851183,1.2545558,1.2509094,1.2674197,1.2734437,1.2614129,1.2853389,1.2767291,1.2849548,1.2875552,1.28197,1.284802,1.2892257,1.2793487,1.2976359,1.287333,1.2649281,1.2634075,1.2904335,1.2827888,1.2769272,1.274994,1.2813976,1.2946045,1.281874,1.2778745,1.2780848,1.2694188,1.2652007,1.2722397,1.2830967,1.285172,1.289827,1.2663416,1.2721463,1.2745073,1.2721747,1.2563567,1.2637023,1.2794789,1.2958441,1.2702025,1.2695683,1.2709057,1.2657351,1.2648935,1.2640537,1.2907715,1.2704135,1.2749008,1.264291,1.2840044,1.2653251,1.2862811,1.2834696,1.2791091
5.5803795,5.234923,5.2895584,4.4339075,4.422505,3.8110142,3.3686793,3.2110937,3.073663,3.0007925,3.3882046,3.226497,2.9785254,3.1852527,3.250515,3.5458958,3.8653336,4.307799,4.449829,4.99066,5.480184,5.4780664,5.938575,5.963375,6.3222704,6.587594,6.3842015,6.373326,6.2961745,6.085216,6.309354,6.5841494,6.7904286,6.0072103,6.5796595,6.50635,6.6171637,6.5840364,6.4519744,6.523191,6.611603,6.597719,6.7402534,6.848339,6.6693487,6.6560526,6.4064074,6.354067,6.835333,6.656343,6.6032286,6.7281494,7.3114705,6.851334,6.659543,6.573026,6.762715,6.594438,6.5493283,6.739989,6.8196197,6.6551056,6.054693,6.6558123,6.309567,6.9453707,6.1856017,6.764222,6.4681606,6.596309,6.4572654
